,identifier,manual score,person,VADER compound,VADER positive,VADER neutral,VADER negative
3,71703,5,dave,0.9879,0.141,0.8320000000000001,0.026
4,72059,5,dave,0.9929,0.151,0.8290000000000001,0.02
7,72950,1,dave,-0.7537,0.081,0.823,0.096
8,73995,5,dave,0.9995,0.108,0.852,0.04
10,74373,5,dave,0.9804,0.105,0.867,0.029
12,75433,3,dave,0.4939,0.071,0.865,0.064
20,80390,5,dave,0.9986,0.103,0.85,0.047
21,81098,4,dave,0.9983,0.14400000000000002,0.8029999999999999,0.053
23,81708,5,dave,0.9996,0.17,0.779,0.05
24,82982,2,dave,0.9916,0.13,0.789,0.081
25,83679,1,dave,-0.4471,0.093,0.805,0.102
27,84087,4,dave,0.8909999999999999,0.077,0.867,0.056
29,85218,1,dave,0.991,0.13699999999999998,0.773,0.091
30,85974,4,dave,0.9949,0.141,0.758,0.101
31,87083,1,dave,0.9884,0.1,0.8390000000000001,0.06
32,87255,4,dave,0.9985,0.155,0.778,0.068
36,88676,2,dave,-0.9806,0.08199999999999999,0.795,0.123
41,92774,5,dave,0.9922,0.147,0.795,0.058
42,92959,4,dave,0.9919,0.125,0.856,0.02
44,93236,4,dave,0.9773,0.092,0.908,0.0
46,95209,5,dave,0.999,0.135,0.8029999999999999,0.062
52,98832,4,dave,-0.9876,0.094,0.5870000000000001,0.319
57,102548,4,dave,0.9235,0.121,0.8,0.079
58,102595,4,dave,0.872,0.128,0.794,0.078
59,102627,5,dave,0.9684,0.12,0.833,0.048
60,103049,5,dave,0.8472,0.209,0.662,0.129
64,105122,4,dave,0.9965,0.183,0.753,0.064
65,105550,1,dave,0.9815,0.111,0.8540000000000001,0.036000000000000004
0,20810,5,lucy,0.9954,0.183,0.784,0.034
3,21217,3,lucy,0.0,0.0,1.0,0.0
4,21450,2,lucy,-0.9452,0.097,0.779,0.124
6,21717,4,lucy,0.9452,0.106,0.87,0.024
7,21909,2,lucy,0.9935,0.136,0.807,0.057
8,21970,2,lucy,0.9963,0.161,0.799,0.041
9,22057,4,lucy,0.9801,0.145,0.777,0.078
10,22341,4,lucy,0.9865,0.135,0.846,0.019
11,23639,4,lucy,0.9941,0.15,0.821,0.028
12,28208,4,lucy,0.9959,0.12,0.841,0.039
20,27491,4,lucy,0.9903,0.13699999999999998,0.8370000000000001,0.026
21,22802,3,lucy,0.9658,0.146,0.818,0.036000000000000004
23,23336,3,lucy,0.9937,0.063,0.91,0.027000000000000003
24,23879,4,lucy,0.9872,0.134,0.8390000000000001,0.027000000000000003
25,28301,3,lucy,0.9922,0.099,0.89,0.011
27,30302,1,lucy,0.9663,0.128,0.78,0.092
29,31212,3,lucy,0.9901,0.1,0.872,0.028
30,31229,4,lucy,0.9966,0.117,0.8490000000000001,0.033
31,31689,3,lucy,-0.34600000000000003,0.06,0.87,0.07
32,31871,4,lucy,0.9996,0.14,0.8190000000000001,0.041
34,32827,3,lucy,0.9622,0.085,0.8640000000000001,0.051
36,33965,2,lucy,0.9983,0.133,0.794,0.073
38,34719,4,lucy,0.9984,0.106,0.8490000000000001,0.046
41,35466,3,lucy,0.9783,0.097,0.87,0.033
42,35568,2,lucy,0.9978,0.124,0.83,0.046
46,37131,2,lucy,0.9917,0.156,0.8,0.044
52,39261,2,lucy,0.9881,0.1,0.838,0.062
55,40654,2,lucy,0.995,0.13699999999999998,0.838,0.025
57,40932,5,lucy,0.9874,0.15,0.816,0.034
58,41380,3,lucy,0.9682,0.079,0.9,0.021
59,41635,2,lucy,0.988,0.113,0.867,0.02
60,41639,4,lucy,0.9768,0.121,0.8270000000000001,0.052000000000000005
62,42318,4,lucy,0.9993,0.187,0.7809999999999999,0.032
64,42800,4,lucy,0.9989,0.159,0.8140000000000001,0.027000000000000003
65,43006,2,lucy,0.9919,0.173,0.773,0.053
68,44231,5,lucy,0.9697,0.08900000000000001,0.878,0.033
70,44686,3,lucy,0.9975,0.16899999999999998,0.795,0.036000000000000004
71,44973,5,lucy,0.9473,0.106,0.8059999999999999,0.08800000000000001
73,45302,2,lucy,0.9916,0.15,0.8320000000000001,0.018000000000000002
74,45507,2,lucy,0.9853,0.121,0.835,0.044
75,45969,4,lucy,0.9695,0.104,0.846,0.05
76,68937,2,lucy,0.9553,0.08,0.8640000000000001,0.056
77,69563,3,lucy,0.9666,0.087,0.872,0.041
78,70156,4,lucy,0.9949,0.113,0.84,0.047
79,70522,2,lucy,-0.9722,0.075,0.826,0.098
0,46012,3,orian,0.8917,0.056,0.919,0.025
3,46562,2,orian,-0.7096,0.07200000000000001,0.8390000000000001,0.08800000000000001
4,47050,3,orian,0.988,0.128,0.797,0.075
6,47223,4,orian,0.9097,0.121,0.785,0.094
7,47400,4,orian,0.9892,0.12,0.804,0.076
8,48394,4,orian,0.949,0.151,0.748,0.1
9,48453,4,orian,0.9973,0.125,0.797,0.078
10,48701,5,orian,0.9967,0.131,0.853,0.017
11,49131,5,orian,0.7615,0.067,0.8859999999999999,0.048
12,49482,4,orian,0.9856,0.091,0.885,0.024
20,66884,4,orian,-0.8483,0.084,0.8140000000000001,0.102
21,66014,3,orian,0.997,0.145,0.795,0.059
23,65487,1,orian,0.9662,0.117,0.795,0.08800000000000001
24,64713,2,orian,0.9981,0.155,0.805,0.039
25,64550,4,orian,0.9987,0.131,0.836,0.033
27,49710,4,orian,0.9964,0.181,0.8029999999999999,0.016
29,50971,4,orian,0.997,0.103,0.8759999999999999,0.021
30,51150,4,orian,0.9889,0.08,0.883,0.038
31,51189,2,orian,-0.9353,0.046,0.8590000000000001,0.094
32,51545,2,orian,0.9523,0.09,0.862,0.048
34,51627,4,orian,0.9947,0.091,0.871,0.038
36,52205,4,orian,0.9952,0.118,0.867,0.015
38,52880,3,orian,0.9509,0.08900000000000001,0.882,0.029
41,53562,4,orian,0.9861,0.127,0.843,0.031
42,53603,5,orian,0.9747,0.118,0.802,0.08
44,55189,3,orian,0.9797,0.118,0.847,0.035
46,55293,4,orian,0.9984,0.142,0.79,0.068
52,57486,4,orian,0.9136,0.076,0.8809999999999999,0.043
55,57834,5,orian,0.9983,0.124,0.851,0.025
57,58505,2,orian,0.9872,0.129,0.81,0.061
58,58612,2,orian,0.9863,0.156,0.7959999999999999,0.047
59,58668,5,orian,0.9714,0.116,0.853,0.031
60,58806,5,orian,0.9923,0.155,0.805,0.039
62,60160,5,orian,0.9945,0.123,0.809,0.068
64,60817,5,orian,0.9907,0.106,0.8290000000000001,0.065
65,60896,5,orian,0.6956,0.117,0.8009999999999999,0.083
67,61514,5,orian,0.9999,0.156,0.802,0.042
